 Produced by pyWiTRACK Experimental version 1 
        DATE INDEX  SIZE     AREA     LON     LAT   RADIUS   MEANV    STDV    MINV    MAXV  LONMAX  LATMAX      SSIan
Event: 201700021 Start:   2017010106 Length: 11 Area:      61.863 SSIarea:      0.05203
  2017010618   283   568   30.700   28.68   44.98   479.58   10.39    3.64    4.88   17.72   29.25   44.50    0.23273
  2017010700   283   700   39.201   28.36   43.17   777.04   11.56    3.52    4.72   18.03   25.75   39.75    0.11162
  2017010706   283   620   34.391   28.29   44.15   719.68   11.31    3.37    5.84   17.65   25.50   39.50    0.09856
  2017010712   283   477   25.923   28.04   45.87   546.86   10.50    2.94    5.24   15.44   28.50   43.00    0.08632
  2017010718   283   200   10.458   26.96   47.21   273.30    7.53    0.59    6.00    9.28   26.75   47.25    0.06423
  2017010800   283   161    8.376   27.03   47.34   292.59    7.34    0.56    5.83    8.58   26.00   48.00    0.02823
  2017010806   283    85    4.425   26.69   47.21   212.69    7.45    0.70    5.39    8.82   26.75   47.25    0.03322
  2017010812   283    92    4.770   26.01   47.69   206.83    7.52    0.85    5.54    9.16   26.00   47.75    0.03421
  2017010818   283    50    2.548   22.86   48.73   156.99    6.90    0.73    5.05    8.61   23.00   49.00    0.04216
  2017010900   283    37    1.884   22.17   48.85   122.05    6.48    0.54    4.78    7.16   23.00   49.00    0.00602
Event: 201700302 Start:   2017010606 Length: 11 Area:     588.595 SSIarea:     14.46736
  2017010606   302    49    3.307  -98.56   29.08   162.75    7.72    0.43    6.84    8.37  -98.00   29.00    0.00105
  2017010612   302    69    4.692  -96.95   28.59   261.31   10.28    1.96    7.24   12.84  -96.50   28.00    0.00082
  2017010618   302    99    6.870  -97.44   24.45   511.58   12.36    1.81    6.49   15.42  -97.25   24.00    0.00494
  2017010700   302   694   47.734  -95.54   26.36   792.19   12.39    2.74    5.03   15.64  -96.75   24.00    0.08607
  2017010706   302  1424   98.029  -95.22   24.10  1229.38   12.44    3.50    2.88   18.33  -97.50   22.50    0.57975
  2017010712   302  1867  129.558  -93.77   22.59  1623.69   12.88    3.28    2.03   20.05  -96.00   19.75    1.00658
  2017010718   302  2577  177.979  -92.14   21.25  2583.28   12.55    3.51    2.83   22.21  -75.00   35.00    1.93283
  2017010800   302  2158  154.098  -92.26   19.29  1444.74   12.77    3.14    2.53   21.71  -95.00   15.25    1.58084
  2017010806   302  2849  204.903  -92.31   16.38  2280.78   12.25    3.13    2.34   21.70  -95.00   15.25    1.92008
  2017010812   302  3542  255.866  -91.31   16.00  2554.74   12.35    3.10    2.10   22.14  -95.50   14.50    2.30409
  2017010818   302  4678  342.133  -89.64   15.73  2798.67   11.56    3.37    2.02   21.01  -95.75   14.50    5.05030
Event: 201700414 Start:   2017010806 Length:  8 Area:     138.659 SSIarea:      1.30992
  2017010806   414   267   12.150  -37.45   54.89   468.84   19.79    1.01   18.36   22.10  -38.25   55.50    0.00667
  2017010812   414   730   31.976  -33.16   56.65   680.40   20.29    1.46   18.63   25.97  -34.25   57.00    0.05176
  2017010818   414  1041   44.110  -27.41   56.81   562.12   20.99    1.51   18.67   24.89  -27.00   56.75    0.13237
  2017010900   414  1360   56.271  -25.49   58.45   693.10   21.52    1.78   18.43   26.07  -24.75   59.50    0.29286
  2017010906   414  1371   56.885  -20.82   58.22   586.06   21.76    2.34   18.18   27.52  -20.75   58.00    0.56664
  2017010912   414  1164   48.774  -15.89   57.19   537.41   20.88    1.64   17.61   24.12  -14.00   57.75    0.21169
  2017010918   414   828   35.267  -12.19   56.86   451.22   19.60    1.30   12.32   22.20  -15.00   57.50    0.04653
  2017011000   414   136    5.923   -8.29   55.46   272.52   17.23    2.67    8.32   19.44   -8.25   55.50    0.00141
Event: 201700545 Start:   2017011012 Length: 12 Area:     557.453 SSIarea:     13.16273
  2017011012   545  1728  108.574  -92.27   36.40  1130.53    7.98    1.26    5.27   13.05 -102.00   34.75    0.85073
  2017011018   545  2446  149.141  -89.30   37.71  1188.57    8.82    1.92    5.20   16.69  -87.00   42.25    3.27377
